path,ext,size,status,rationale
messianic-names-numbers-atlas.html,.html,28464,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
kevelaer-chaam-timeline.html,.html,15331,REVIEW_EXTERNAL_REFERENCES,16 external URL(s)
luxdot-philosophy.html,.html,6862,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
hikma-i18n-v43108.js,.js,6438,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected; rights/license wording detected
daily-identity.js,.js,175757,REVIEW_EXTERNAL_REFERENCES,61 external URL(s); rights/license wording detected
research-static-i18n.js,.js,96572,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
source-reader-v2.js,.js,7370,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
CHANGELOG_v4_14_11.md,.md,218,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
muqaddimah-reader.html,.html,2400,REVIEW_EXTERNAL_REFERENCES,1 external URL(s); rights/license wording detected
CHANGELOG_v4_3_112.md,.md,473,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
research-graph.js,.js,173640,REVIEW_EXTERNAL_REFERENCES,8 external URL(s)
kees-van-wanrooij-i18n.js,.js,9925,REVIEW_EXTERNAL_REFERENCES,12 external URL(s)
sacred-120km-network.html,.html,30063,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
CHANGELOG_v4_14_3.md,.md,990,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
what-is-luxdot.html,.html,7122,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
CHANGELOG_v4_14_9.md,.md,532,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
CHANGELOG_v4_7_0.md,.md,164,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
TEST_REPORT_v4_3_29.md,.md,1439,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
CHANGELOG_v4_3_1.md,.md,671,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
guardian-benefactor.html,.html,9710,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
CHANGELOG_v4_5_1.md,.md,423,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected; rights/license wording detected
savior-atlas.js,.js,75995,REVIEW_EXTERNAL_REFERENCES,license-marker:MIT; 1 external URL(s)
serat-centhini.html,.html,7246,REVIEW_EXTERNAL_REFERENCES,2 external URL(s)
research-views-v4.css,.css,10411,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
memory-flags.css,.css,696,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
CHANGELOG_v4_3_6.md,.md,628,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
CHANGELOG_v4_3_49.md,.md,534,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
TEST_REPORT_v2_9_4.md,.md,702,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
hurufism-fazlallah-nasimi.html,.html,4706,REVIEW_EXTERNAL_REFERENCES,2 external URL(s)
hank-raamsdonk-war-memory.html,.html,11582,REVIEW_EXTERNAL_REFERENCES,5 external URL(s)
chaam-genealogy.css,.css,2777,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
ARABIC_SURFACE_AUDIT_v4_16_1.md,.md,431,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
QA_REPORT_v4_16_0.md,.md,183,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
CHANGELOG_v4_3_126.md,.md,468,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
CHANGELOG_v4_3_9.md,.md,704,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
avesta.html,.html,7195,REVIEW_EXTERNAL_REFERENCES,2 external URL(s)
CHANGELOG_v4_14_0.md,.md,890,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
TEST_REPORT_v4_3_73_TARGETED_REPAIR.md,.md,750,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
chosen-balance.html,.html,5601,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
values-data.js,.js,5126,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
st-bartholomew-memory.html,.html,12946,REVIEW_EXTERNAL_REFERENCES,3 external URL(s)
TEST_REPORT_v4_3_83.md,.md,19,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
world-calendar.html,.html,9161,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
CHANGELOG_v4_3_45.md,.md,580,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
shaam-breda.html,.html,6340,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
VERSION_MEMORY_DOSSIERS_4_3_89.txt,.txt,159,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
TEST_REPORT_v4_7_0.md,.md,227,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
TEST_REPORT_v4_3_69_LANGUAGE_ROUTING.md,.md,543,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
CHANGELOG_v2_9_4.md,.md,806,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
laws-principles-atlas.html,.html,13219,REVIEW_EXTERNAL_REFERENCES,5 external URL(s)
CHANGELOG_v4_3_71.md,.md,662,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
timeline.html,.html,4194,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
luxdot-header-v43108.css,.css,6407,REVIEW_EXTERNAL_REFERENCES,1 external URL(s)
projects-i18n.js,.js,4722,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
CHANGELOG_v4_3_53.md,.md,581,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
source-inventory.json,.json,152352,REVIEW_EXTERNAL_REFERENCES,949 external URL(s)
CHANGELOG_v4_14_2.md,.md,964,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
CHANGELOG_v4_3_37.md,.md,400,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
TEST_REPORT_v4_3_121.md,.md,253,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
sabbatai-nathan-test.html,.html,4312,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
CHANGELOG_v4_14_6.md,.md,413,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
TEST_REPORT_v4_9_0.md,.md,395,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
TEST_REPORT_v4_10_0.md,.md,206,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
jewish-research-page.js,.js,3252,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
karamazov-reader.html,.html,2473,REVIEW_EXTERNAL_REFERENCES,1 external URL(s); rights/license wording detected
TEST_REPORT_v4_3_116.md,.md,88,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
CHANGELOG_v4_11_0.md,.md,1011,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
build-meta.json,.json,6163,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
CHANGELOG_v4_3_109.md,.md,758,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
CHANGELOG_v4_3_38.md,.md,589,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
ibn-arabi-abulafia-comparison.html,.html,7991,REVIEW_EXTERNAL_REFERENCES,3 external URL(s)
app.js,.js,75335,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
CHANGELOG_v4_3_69.md,.md,408,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
content-language-core.js,.js,4788,REVIEW_EXTERNAL_REFERENCES,license-marker:MIT; 1 external URL(s)
TEST_REPORT_v4_3_14.md,.md,743,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
.nojekyll,,0,REVIEW,unclassified file type
index.html,.html,4025,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
TEST_REPORT_v4_3_112.md,.md,319,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
burial-settlement-layers.html,.html,14209,REVIEW_EXTERNAL_REFERENCES,12 external URL(s)
sepharad-diaspora.html,.html,5699,REVIEW_EXTERNAL_REFERENCES,1 external URL(s)
CHANGELOG_v2_9_9.md,.md,527,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
suluk-java.html,.html,6104,REVIEW_EXTERNAL_REFERENCES,2 external URL(s)
CHANGELOG_v4_3_61.md,.md,580,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected; rights/license wording detected
research-sky-interaction-v4160.js,.js,2117,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
CHANGELOG_v4_3_12.md,.md,1028,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
CHANGELOG_v4_3_48.md,.md,374,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
CHANGELOG_v4_3_86.md,.md,560,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
LUXDOT_INFORMATION_ARCHITECTURE_v4_4_1.md,.md,1138,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
TEST_REPORT_v4_3_44.md,.md,564,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
humanity.html,.html,25805,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
van-velthoven-family.html,.html,13956,REVIEW_EXTERNAL_REFERENCES,25 external URL(s)
complete-sacred-reader.js,.js,5310,REVIEW_EXTERNAL_REFERENCES,2 external URL(s)
CHANGELOG_v4_2_0.md,.md,1123,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
witness-v412.css,.css,3414,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
WITNESS_BACKEND_BLUEPRINT.md,.md,1045,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
african-association.html,.html,20949,REVIEW_EXTERNAL_REFERENCES,5 external URL(s)
VERSION_RESEARCH_SKY.txt,.txt,54,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
LUXDOT_PULSE_CLOUDFLARE_SETUP.txt,.txt,913,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
TEST_REPORT_v2_9_1.md,.md,4220,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
everyday-good.html,.html,16098,REVIEW_EXTERNAL_REFERENCES,8 external URL(s)
values.html,.html,4271,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
five-lang-site.js,.js,123,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
CHANGELOG_v4_6_1.md,.md,136,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected; rights/license wording detected
alphen-before-alphen.html,.html,4696,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
savior-deepening.html,.html,27680,REVIEW_EXTERNAL_REFERENCES,26 external URL(s)
intro.css,.css,10510,REVIEW_EXTERNAL_REFERENCES,1 external URL(s)
alawi-nusayri-research.html,.html,20695,REVIEW_EXTERNAL_REFERENCES,8 external URL(s)
number-letter-lab.html,.html,11489,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
research-report.js,.js,6560,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
visual-library.html,.html,5103,REVIEW_EXTERNAL_REFERENCES,2 external URL(s)
search-index.json,.json,368467,LIKELY_PROJECT_AUTHORED,license-marker:CC; local text/code; no external URL detected; rights/license wording detected
brabant-research-architecture.html,.html,18254,REVIEW_EXTERNAL_REFERENCES,5 external URL(s)
TEST_REPORT_v4_3_6.md,.md,857,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
willibrord-echternach.html,.html,24199,REVIEW_EXTERNAL_REFERENCES,14 external URL(s)
CHANGELOG_v4_16_3.md,.md,650,LIKELY_PROJECT_AUTHORED,license-marker:AGPL; license-marker:CC; local text/code; no external URL detected; rights/license wording detected
memory-flags.js,.js,998,REVIEW_EXTERNAL_REFERENCES,1 external URL(s)
README.txt,.txt,841,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
denhaag-deportation-memory.html,.html,7941,REVIEW_EXTERNAL_REFERENCES,1 external URL(s)
maimonides-letters-numbers.html,.html,7881,REVIEW_EXTERNAL_REFERENCES,3 external URL(s)
CHANGELOG_v4_3_19.md,.md,450,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
fusus-reader.html,.html,2413,REVIEW_EXTERNAL_REFERENCES,1 external URL(s); rights/license wording detected
hebrew-research-overlay.js,.js,14531,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
platform-v43.css,.css,4203,REVIEW_EXTERNAL_REFERENCES,1 external URL(s)
deportation-memory.html,.html,8194,REVIEW_EXTERNAL_REFERENCES,2 external URL(s)
TEST_REPORT_v4_3_74_LANGUAGE_MEMORY_JAVA_RECOVERY.md,.md,1100,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
CHANGELOG_v4_14_10.md,.md,629,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
hendrick-busman.html,.html,22241,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
CHANGELOG_v4_3_34.md,.md,987,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
burckhardt.html,.html,23494,REVIEW_EXTERNAL_REFERENCES,5 external URL(s)
genealogy-reader.html,.html,2541,REVIEW_EXTERNAL_REFERENCES,1 external URL(s); rights/license wording detected
CHANGELOG_v4_3_32.md,.md,477,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
grote-kerk-north-transept.html,.html,11902,REVIEW_EXTERNAL_REFERENCES,25 external URL(s)
shaam-brabant-network.html,.html,40583,REVIEW_EXTERNAL_REFERENCES,6 external URL(s)
CHANGELOG_v2_9_2.md,.md,790,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
manuaal-1422-people-land.html,.html,16022,REVIEW_EXTERNAL_REFERENCES,11 external URL(s)
jan-van-velthoven.html,.html,11737,REVIEW_EXTERNAL_REFERENCES,15 external URL(s)
nusantara.html,.html,8340,REVIEW_EXTERNAL_REFERENCES,6 external URL(s)
arabic-polish.css,.css,5749,REVIEW_EXTERNAL_REFERENCES,1 external URL(s)
CHANGELOG_v4_3_91.md,.md,545,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
CHANGELOG_v4_6_0.md,.md,602,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
TEST_REPORT_v2_9_7.md,.md,1426,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
red-heifer.js,.js,15294,REVIEW_EXTERNAL_REFERENCES,6 external URL(s)
CHANGELOG_v4_3_57.md,.md,1158,LIKELY_PROJECT_AUTHORED,license-marker:CC; local text/code; no external URL detected
maximilian-kolbe.html,.html,16693,REVIEW_EXTERNAL_REFERENCES,6 external URL(s)
tanakh.html,.html,8007,REVIEW_EXTERNAL_REFERENCES,10 external URL(s); rights/license wording detected
CHANGELOG_v4_4_2.md,.md,483,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
CHANGELOG_v4_3_83.md,.md,279,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
TEST_REPORT_v4_3_82.md,.md,26,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
sephardic-halakha.html,.html,5496,REVIEW_EXTERNAL_REFERENCES,license-marker:CC; 4 external URL(s)
belief-violence-memory.html,.html,30579,REVIEW_EXTERNAL_REFERENCES,6 external URL(s)
CHANGELOG_v4_3_113.md,.md,580,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
jafr-ilm-huruf.html,.html,5390,REVIEW_EXTERNAL_REFERENCES,2 external URL(s)
CHANGELOG_v4_3_104.md,.md,630,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
luxdot-research-experience-v4150.js,.js,11072,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
withagen-van-den-boom.html,.html,13300,REVIEW_EXTERNAL_REFERENCES,15 external URL(s)
hikma-reader.html,.html,10236,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
TEST_REPORT_v4_0_0.md,.md,1195,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
analytics-config.js,.js,311,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
history-galaxy.html,.html,3706,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
historic-brabant-crossborder.html,.html,23589,REVIEW_EXTERNAL_REFERENCES,19 external URL(s)
media.html,.html,4793,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
CHANGELOG_v4_3_78.md,.md,387,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
LUXDOT_MASTER_BACKLOG.md,.md,8319,LIKELY_PROJECT_AUTHORED,license-marker:AGPL; license-marker:CC; local text/code; no external URL detected; rights/license wording detected
CHANGELOG_v4_3_117.md,.md,439,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
TEST_REPORT_v4_3_109.md,.md,711,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
abulafia-letters-names.html,.html,8024,REVIEW_EXTERNAL_REFERENCES,3 external URL(s)
CHANGELOG_v4_3_93.md,.md,709,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
TEST_REPORT_v4_3_114.md,.md,63,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
CHANGELOG_v4_3_27.md,.md,139,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
CHANGELOG_v4_3_80.md,.md,420,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
CHANGELOG_v4_3_59.md,.md,670,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
CHANGELOG_v4_14_8.md,.md,560,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
luxdot-typography-v41416.css,.css,2081,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
gita.html,.html,2232,REVIEW_EXTERNAL_REFERENCES,2 external URL(s)
CHANGELOG_v4_3_18.md,.md,761,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
CHANGELOG_v3_0_0.md,.md,599,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
CHANGELOG_v4_3_121.md,.md,480,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
TEST_REPORT_v4_3_77_MULTILINGUAL_IDENTITY_MEDIA_QA.md,.md,1944,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
1127-watch.html,.html,17501,REVIEW_EXTERNAL_REFERENCES,4 external URL(s)
druze-hikma.html,.html,36578,REVIEW_EXTERNAL_REFERENCES,license-marker:CC; 9 external URL(s)
TEST_REPORT_v4_11_0.md,.md,270,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
faith-i18n-v2.js,.js,10798,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
audiovisual.html,.html,5432,REVIEW_EXTERNAL_REFERENCES,2 external URL(s)
PAGE_TEMPLATE_MULTILINGUAL.html,.html,1192,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
CHANGELOG_v4_3_33.md,.md,463,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
border-chapels-route.html,.html,15435,REVIEW_EXTERNAL_REFERENCES,15 external URL(s)
CHANGELOG_v4_3_108.md,.md,1079,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
CHANGELOG_v4_3_40.md,.md,527,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
luxdot-arabic-ui.css,.css,18548,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
research-views-v3.css,.css,6408,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
analects.html,.html,7309,REVIEW_EXTERNAL_REFERENCES,2 external URL(s)
analytics.js,.js,1637,REVIEW_EXTERNAL_REFERENCES,2 external URL(s)
CHANGELOG_v4_3_15.md,.md,1181,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
CHANGELOG_v4_3_17.md,.md,391,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
CHANGELOG_v4_14_12.md,.md,422,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
CHANGELOG_v4_3_4.md,.md,483,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
buddhist.html,.html,2299,REVIEW_EXTERNAL_REFERENCES,2 external URL(s)
TEST_REPORT_v4_3_115.md,.md,786,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
CHANGELOG_v4_3_111.md,.md,553,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
research-media.css,.css,3032,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
VERSION.txt,.txt,7,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
library-i18n.js,.js,4185,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
jewish-source-ladder.html,.html,6188,REVIEW_EXTERNAL_REFERENCES,2 external URL(s)
shaam-breda.css,.css,12584,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
pet-goat-apocalypse-media.html,.html,78636,REVIEW_EXTERNAL_REFERENCES,48 external URL(s)
luxdot-arabic-ui.js,.js,23782,REVIEW_EXTERNAL_REFERENCES,4 external URL(s)
reiderland-live.html,.html,31880,REVIEW_EXTERNAL_REFERENCES,6 external URL(s)
thijs-loss-consolation.html,.html,9886,REVIEW_EXTERNAL_REFERENCES,10 external URL(s)
name-truth-memory.html,.html,8200,REVIEW_EXTERNAL_REFERENCES,3 external URL(s)
CHANGELOG_v4_9_0.md,.md,1037,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
science-galaxy.html,.html,3075,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
indies-memory.html,.html,8800,REVIEW_EXTERNAL_REFERENCES,3 external URL(s)
chaam-genealogy.html,.html,6795,REVIEW_EXTERNAL_REFERENCES,8 external URL(s)
source-reader-v2.css,.css,3211,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
CHANGELOG_v4_3_64.md,.md,547,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
CHANGELOG_v4_3_2.md,.md,540,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
memory.css,.css,18319,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
library.html,.html,20572,REVIEW_EXTERNAL_REFERENCES,22 external URL(s)
CHANGELOG_v4_14_15.md,.md,449,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
TEST_REPORT_v4_3_86.md,.md,682,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
ismaili-qaim-mahdi.html,.html,27126,REVIEW_EXTERNAL_REFERENCES,17 external URL(s)
maimonides.html,.html,7352,REVIEW_EXTERNAL_REFERENCES,2 external URL(s)
VERSION_MEMORY_DOSSIERS_4_3_88.txt,.txt,122,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
CHANGELOG_v4_3_101.md,.md,615,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
war-reconstruction-memory.html,.html,15637,REVIEW_EXTERNAL_REFERENCES,15 external URL(s)
CHANGELOG_v4_3_44.md,.md,637,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
CHANGELOG_v4_3_13.md,.md,832,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
CHANGELOG_v4_3_39.md,.md,180,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
media-news.js,.js,13901,LIKELY_PROJECT_AUTHORED,license-marker:MIT; local text/code; no external URL detected
genetics-memory-hypothesis.html,.html,5070,REVIEW_EXTERNAL_REFERENCES,2 external URL(s)
CHANGELOG_v4_3_122.md,.md,585,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
TEST_REPORT_v4_3_5.md,.md,564,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
CHANGELOG_v4_3_94.md,.md,340,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
sacred-25km-atlas.css,.css,4039,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
slave-trade-remembrance.html,.html,6155,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
frontier-research.css,.css,1415,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
research-views-v4.js,.js,21377,REVIEW_EXTERNAL_REFERENCES,1 external URL(s)
psychoactive-substances.html,.html,5144,REVIEW_EXTERNAL_REFERENCES,2 external URL(s)
CHANGELOG_v4_6_3.md,.md,581,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
TEST_REPORT_v4_1_0.md,.md,989,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
intro.js,.js,12042,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
quantum-entanglement.html,.html,3929,REVIEW_EXTERNAL_REFERENCES,2 external URL(s)
CHANGELOG_v4_3_58.md,.md,700,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
saint-genis-memory.html,.html,15918,REVIEW_EXTERNAL_REFERENCES,license-marker:CC; 3 external URL(s)
live-development.js,.js,4411,REVIEW_EXTERNAL_REFERENCES,2 external URL(s)
sacred-25km-atlas.html,.html,1210,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
CHANGELOG_v4_3_82.md,.md,452,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
westerweel-memory.html,.html,8434,REVIEW_EXTERNAL_REFERENCES,3 external URL(s)
CHANGELOG_v4_3_96.md,.md,317,LIKELY_PROJECT_AUTHORED,local text/code; no external URL detected
